0, 68, 0, 70, 63, 76, 82, 88, 70, 70, 68, 0, 81, 64, 0, 0,
0, 66, 0, 68, 61, 78, 85, 87, 68, 71, 66, 0, 83, 0, 0, 0,
0, 63, 0, 0, 60, 76, 85, 88, 0, 73, 64, 0, 84, 0, 0, 0,
0, 0, 0, 67, 61, 0, 0, 91, 67, 74, 65, 0, 0, 0, 0, 69,
0, 62, 0, 65, 62, 74, 86, 0, 68, 71, 63, 0, 0, 0, 0, 67,
0, 59, 0, 66, 64, 77, 85, 91, 71, 72, 63, 0, 0, 0, 0, 69,
78, 60, 0, 64, 66, 78, 85, 92, 74, 74, 64, 0, 0, 0, 0, 68,
77, 60, 0, 66, 68, 78, 84, 93, 76, 76, 65, 0, 0, 0, 0, 66,
76, 60, 0, 67, 67, 77, 82, 93, 75, 78, 66, 0, 0, 0, 0, 67,
0, 61, 0, 69, 66, 75, 79, 0, 75, 0, 69, 0, 0, 0, 0, 70,
74, 61, 0, 69, 66, 76, 0, 0, 74, 0, 68, 0, 0, 0, 0, 72,
74, 61, 0, 71, 69, 76, 0, 0, 72, 0, 70, 0, 0, 0, 0, 74,
77, 60, 0, 70, 67, 73, 0, 79, 72, 0, 70, 0, 0, 0, 0, 77,
79, 60, 0, 69, 0, 71, 0, 0, 70, 0, 69, 0, 0, 55, 0, 0,
76, 61, 0, 69, 67, 69, 0, 0, 68, 0, 0, 0, 0, 0, 0, 78,
